product name full,product link,price,review-count,thumbnail,categories,subcategories
"Maxxis Highroller II Dual 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Highroller-II-Dual-27-5-Folding-Tyre-p47526/,25.20 €,1,https://static.bike-components.de/cache/p/s1/4/7/Maxxis-Highroller-II-Dual-27-5-Folding-Tyre-47526-0-1547624546.jpeg,Tyres,"27.5"" Tyres"
Maxxis Rekon+ 3C MaxxTerra EXO 27.5+ Folding Tyre,https://www.bike-components.de/en/Maxxis/Rekon-3C-MaxxTerra-EXO-27-5-Folding-Tyre-p49844/,48.73 €,2,https://static.bike-components.de/cache/p/s1/4/9/Maxxis-Rekon-3C-MaxxTerra-EXO-27-5-Folding-Tyre-49844-0-1550845240.jpeg,Tyres,"27.5"" Tyres"
WTB Horizon Road Plus TCS Folding Tyre - 2017 Model,https://www.bike-components.de/en/WTB/Horizon-Road-Plus-TCS-Folding-Tyre-2017-Model-p51492/,40.29 €,1,https://static.bike-components.de/cache/p/s1/5/1/WTB-Horizon-Road-Plus-TCS-Folding-Tyre-2017-Model-51492-0-1548424080.jpeg,Tyres,"27.5"" Tyres"
"Maxxis Shorty /Minion DHR II TR 3C MaxxTerra 27.5"" Folding Tyre Set",https://www.bike-components.de/en/Maxxis/Shorty-Minion-DHR-II-TR-3C-MaxxTerra-27-5-Folding-Tyre-Set-p51836/,75.59 €,1,https://static.bike-components.de/cache/p/s1/5/1/Maxxis-Shorty-Minion-DHR-II-TR-3C-MaxxTerra-27-5-Folding-Tyre-Set-51836-0-1548423752.jpeg,Tyres,"27.5"" Tyres"
Schwalbe Nobby Nic Evo TrailStar SnakeSkin Apex 27.5+ Folding Tyre – Closeout,https://www.bike-components.de/en/Schwalbe/Nobby-Nic-Evo-TrailStar-SnakeSkin-Apex-27-5-Folding-Tyre-Closeout-p52292/,37.77 €,1,https://static.bike-components.de/cache/p/s1/5/2/Schwalbe-Nobby-Nic-Evo-TrailStar-SnakeSkin-Apex-27-5-Folding-Tyre-Closeout-52292-0-1493020676.jpeg,Tyres,"27.5"" Tyres"
"Maxxis Forekaster EXO Protection 27.5"" Folding Tyre",https://www.bike-components.de/en/Maxxis/Forekaster-EXO-Protection-27-5-Folding-Tyre-p52348/,from  29.40€,1,https://static.bike-components.de/cache/p/s1/5/2/Maxxis-Forekaster-EXO-Protection-27-5-Folding-Tyre-52348-0-1547623831.jpeg,Tyres,"27.5"" Tyres"
Maxxis Minion DHR II+ 3C MaxxTerra TR EXO 27.5”+ Folding Tyre - 2017 Model,https://www.bike-components.de/en/Maxxis/Minion-DHR-II-3C-MaxxTerra-TR-EXO-27-5-Folding-Tyre-2017-Model-p52765/,57.10 €,1,https://static.bike-components.de/cache/p/s1/5/2/Maxxis-Minion-DHR-II-3C-MaxxTerra-TR-EXO-27-5-Folding-Tyre-2017-Model-52765-0-1550845241.jpeg,Tyres,"27.5"" Tyres"
Maxxis HighRoller II+ 3C MaxxTerra 27.5+ Folding Tyre,https://www.bike-components.de/en/Maxxis/HighRoller-II-3C-MaxxTerra-27-5-Folding-Tyre-p52768/,57.10 €,4,https://static.bike-components.de/cache/p/s1/5/2/Maxxis-HighRoller-II-3C-MaxxTerra-27-5-Folding-Tyre-52768-0-1550731505.jpeg,Tyres,"27.5"" Tyres"
"Onza Ibex DH DHC 27.5"" 55a Wired Tyre",https://www.bike-components.de/en/Onza/Ibex-DH-DHC-27-5-55a-Wired-Tyre-p56863/,16.80 €,,https://static.bike-components.de/cache/p/s1/5/6/Onza-Ibex-DH-DHC-27-5-55a-Wired-Tyre-56863-0-1547624572.jpeg,Tyres,"27.5"" Tyres"
"Schwalbe Rocket Ron Evolution ADDIX Speed SnakeSkin 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Rocket-Ron-Evolution-ADDIX-Speed-SnakeSkin-27-5-Folding-Tyre-p57271/,33.57 €,,https://static.bike-components.de/cache/p/s1/5/7/Schwalbe-Rocket-Ron-Evolution-ADDIX-Speed-SnakeSkin-27-5-Folding-Tyre-57271-0-1547623922.jpeg,Tyres,"27.5"" Tyres"
"Schwalbe Thunder Burt Evolution ADDIX Speed 27.5"" Folding Tyre",https://www.bike-components.de/en/Schwalbe/Thunder-Burt-Evolution-ADDIX-Speed-27-5-Folding-Tyre-p57282/,33.57 €,,https://static.bike-components.de/cache/p/s1/5/7/Schwalbe-Thunder-Burt-Evolution-ADDIX-Speed-27-5-Folding-Tyre-57282-0-1547623936.jpeg,Tyres,"27.5"" Tyres"
