id,product_name_full,context_name,service_name,emds1,emds2,emds3,emds4,emds5,emds6,emds7,emds8,emds9,emds10,emds11,emds12,emds13,emds14,emds15,emds16,emds17,emds18,emds19,emds20,emds21,emds22,emds23,emds24,emds25,emds26,emds27,emds28,emds29,emds30,emds31,emds32,emds33,emds34,emds35,emds36,emds37,emds38,emds39,emds40,emds41,emds42,emds43,emds44,emds45,emds46,emds47,emds48,emds49,emds50,emds51,emds52,emds53,emds54,emds55,emds56,emds57,emds58,emds59,emds60,emds61,emds62,emds63,emds64
2997,SRAM Standard Bleed Kit w/ DOT 5.1 Brake Fluid,null,null,-0.07125,-0.020893,-0.175248,0.102502,-0.063989,0.010265,0.06933,-0.17792,-0.302231,-0.27106,-0.217477,0.106538,-0.098006,0.146828,0.155569,0.382861,-0.203018,-0.128947,0.436675,0.313671,-0.197211,-0.031251,-0.095284,0.535486,0.179955,0.599792,0.512966,0.17347,-0.602048,-0.389629,-0.148112,0.133622,0.104287,-0.14179,0.70546,0.077246,-0.000033,0.137954,0.027619,0.217487,-0.26197,0.088683,0.253597,-0.167847,-0.408898,-0.054644,0.350051,0.210816,-0.024234,-0.29744,0.346035,0.609664,-0.083371,0.391971,-0.201472,0.20164,0.086959,-0.2823,0.434246,-0.145939,-0.186695,0.00861,0.426501,-0.705888
2999,Shimano Bleed Block (15-hole) for 2-Piston Brake Calipers,null,null,-0.115345,0.309714,-0.115749,-0.147277,0.008989,-0.066378,0.163072,-0.019138,-0.176808,0.251324,-0.053605,-0.010397,0.201268,-0.009638,-0.196083,0.111715,-0.264762,0.296438,0.089084,0.128588,-0.168189,-0.077979,0.017539,-0.141723,-0.355605,0.381915,-0.069553,0.071151,0.100475,0.062029,-0.114585,-0.124472,-0.069958,0.122765,-0.275687,0.039059,0.069626,0.105244,0.19002,0.030405,-0.493006,-0.159338,-0.10054,-0.076068,0.073115,-0.200091,-0.084214,0.156906,0.0008,-0.253138,0.111449,0.426206,0.195522,-0.091193,0.025314,-0.090228,-0.022769,0.038737,0.137062,-0.266473,-0.164968,-0.067408,-0.118652,-0.277537
3021,Shimano Mineral Oil,null,null,-0.157554,0.237959,-0.09945,-0.045358,-0.022301,-0.107951,0.165364,-0.012472,-0.175135,0.158437,0.218331,0.018245,0.350333,0.074047,-0.192119,0.308741,-0.296157,0.227623,0.304874,0.051456,-0.074122,-0.154449,0.120803,-0.009015,-0.344992,0.263398,0.124919,0.176667,0.07549,0.071033,-0.230542,-0.07847,0.124715,-0.212745,-0.261986,-0.047939,-0.083645,0.36726,0.172265,0.038013,-0.34171,-0.026481,0.021032,-0.068432,0.100981,-0.179126,-0.054317,0.148551,-0.207859,-0.249417,0.286352,0.166135,-0.040364,-0.060924,-0.009758,-0.130249,0.00445,0.249036,0.158889,-0.420279,-0.111734,-0.215209,-0.073639,-0.319153
3039,Shimano XT BL-M8000 Brake Lever,null,null,-0.135221,0.263265,-0.248422,-0.190134,-0.107478,-0.095881,-0.027433,-0.012562,-0.089878,0.252994,0.001485,-0.102397,0.124309,-0.012639,-0.23565,0.327691,-0.066135,0.084807,0.181213,-0.081747,-0.066625,-0.209731,0.087275,-0.333134,-0.133035,0.394893,-0.015841,0.31805,0.032479,0.098579,-0.057313,-0.401687,-0.086093,-0.126822,-0.331607,0.097559,0.096804,0.095796,0.097127,0.017604,-0.47256,-0.043026,0.040029,-0.153136,0.088085,-0.222944,0.046434,0.042805,-0.242711,-0.145679,0.356089,0.463446,0.417276,-0.10372,-0.006483,-0.117216,-0.227513,-0.01688,0.161537,-0.367544,-0.150834,-0.036164,-0.20712,-0.253248
3042,Shimano BL-M7000 SLX Brake Lever,null,null,-0.187696,0.254518,0.031721,-0.297723,0.050258,-0.172526,0.103021,-0.053321,-0.29839,0.485781,0.038418,-0.113385,0.16115,0.001986,-0.242623,0.331904,0.04314,0.244417,0.117204,0.026361,0.214052,-0.288504,0.027792,-0.132622,-0.303702,0.406855,0.045049,0.035191,0.016242,0.061102,-0.283576,-0.135629,0.11126,0.089013,0.032968,0.21968,0.143841,0.03318,0.276916,0.078451,-0.320625,-0.075504,-0.249052,-0.085139,0.042136,-0.257908,0.131413,0.124077,-0.053976,-0.121942,0.195816,0.324941,0.073372,0.045875,-0.00771,-0.16207,-0.083521,0.055739,0.072074,-0.260718,-0.268201,-0.153867,-0.240395,-0.188477
3045,Shimano 105 STI ST-5700 / ST-5703 2-/3-/10-speed Shift/Brake Levers,null,null,0.00038,0.394876,-0.028897,-0.094743,0.010853,-0.260237,-0.005032,-0.029141,-0.221846,0.429919,-0.137054,-0.054246,0.14206,0.064252,-0.147726,0.065508,-0.189064,0.265206,0.197334,0.00485,-0.035277,-0.109784,0.140912,-0.196876,-0.274019,0.475941,0.041711,0.125131,0.07653,-0.152862,-0.086789,-0.168968,0.078219,-0.02376,-0.220356,-0.198183,0.070236,0.153913,0.314631,0.230983,-0.340453,-0.01351,-0.155686,-0.18097,0.150246,-0.23347,0.030972,0.131124,-0.288249,-0.373858,0.106371,0.369231,-0.018622,-0.062447,-0.004766,0.062919,-0.042567,0.050605,0.18069,-0.200278,-0.162327,-0.096714,-0.159595,-0.321249
3056,SRAM Rival DoubleTap® 2-/10-speed Shift/Brake Lever,null,null,0.046458,0.327741,-0.125372,-0.243628,-0.098697,-0.175921,0.142241,-0.024906,-0.178595,0.222933,0.002779,0.180491,0.09868,-0.136816,-0.133116,-0.012141,-0.306715,0.271786,0.056749,0.091688,-0.160813,-0.071909,0.21017,-0.312656,-0.234405,0.249621,-0.10698,-0.038615,0.269481,0.013158,-0.183045,-0.255333,-0.158371,0.157644,-0.181182,-0.004507,0.051917,0.229754,0.09555,-0.047409,-0.544228,0.036885,-0.048922,-0.180988,0.054623,-0.158939,-0.083507,0.41171,-0.25095,-0.006711,0.177299,0.407081,0.021085,-0.090658,-0.010229,-0.060894,0.088585,-0.099699,0.280672,-0.423429,0.013146,-0.099817,-0.278815,-0.263168
3059,SRAM S 500 Brake Levers,null,null,-0.210532,-0.117962,-0.016258,0.095445,-0.255808,0.147816,-0.14322,0.058407,0.165321,-0.474549,0.074912,0.156181,0.123302,0.170127,-0.085433,-0.330937,0.313094,0.168579,-0.18445,-0.232284,0.123806,0.109541,0.517759,0.069907,-0.261428,0.63239,0.156955,-0.291815,-0.172806,0.319599,-0.250447,-0.248208,0.188949,0.194993,0.10121,0.002168,-0.382273,-0.008061,-0.051753,0.089463,-0.230686,0.155767,0.237034,-0.055705,0.027549,-0.370544,0.132417,0.267237,-0.098758,-0.468617,0.017629,0.29482,0.121361,-0.164357,-0.230898,-0.106007,-0.100242,0.182803,-0.096769,0.102385,0.044888,-0.339807,-0.097408,0.0416
3064,Campagnolo Veloce Power Shift™ Ergopower™ 2x10-speed Shift/Brake Levers,null,null,0.700901,0.394128,-0.484752,-0.647826,0.31341,0.278434,-0.343995,-0.272427,0.230809,-0.849363,-0.63487,0.303134,0.313998,0.450039,0.236489,0.553252,0.328516,0.531278,0.219905,-0.440029,0.081507,-0.036311,-0.389219,-0.541159,0.251545,0.439021,0.366511,-0.153515,0.517383,0.237501,-0.723992,0.273146,0.227155,-0.624886,0.803958,0.165466,-0.281273,-0.53402,-0.111172,-0.365782,-0.130521,-0.824581,0.431714,0.110237,0.191731,-0.431695,-0.101978,0.562655,-0.580815,-0.89631,0.183884,1.075838,-0.246051,0.426534,0.077278,0.167124,1.042645,-0.372475,-0.905239,-0.15601,-0.107354,-0.165707,-0.203469,-0.142548
3066,SRAM Rival 22 DoubleTap® 2-/11-speed Mechanical Shift/Brake Levers,null,null,-0.387873,-0.156602,-0.223897,0.024126,-0.177708,0.183135,-0.29637,0.089795,0.103352,-0.46545,0.260487,0.076979,-0.001242,0.056772,-0.337439,-0.180829,0.202414,-0.019534,-0.077806,-0.268733,0.182132,0.047243,0.345103,-0.016851,0.040319,0.812131,0.123255,-0.221524,-0.332467,0.362483,-0.194789,-0.301086,0.186016,0.08635,0.088301,-0.12371,-0.331855,-0.030522,-0.392723,0.046151,-0.062107,0.218859,0.232888,-0.141865,-0.057151,-0.401919,0.194201,0.180466,-0.172054,-0.538799,0.184751,0.493677,0.258046,-0.214876,-0.037736,-0.026383,-0.280456,0.087011,0.004153,0.049783,0.101647,-0.269361,0.018062,0.086875
