product_name_full,product_link,price,thumbnail,categories
Revelate Designs Mountain Feedbag Handlebar Bag,https://www.bike-components.de/en/Revelate-Designs/Mountain-Feedbag-Handlebar-Bag-p63778/,44.50 €,,"Backpacks, Bags & Panniers"
Topeak VersaCage,https://www.bike-components.de/en/Topeak/VersaCage-p65565/,16.76 €,,"Backpacks, Bags & Panniers"
Ortlieb Saddle-Bag 2,https://www.bike-components.de/en/Ortlieb/Saddle-Bag-2-p66602/,from  33.57€,,"Backpacks, Bags & Panniers"
Camelbak K.U.D.U. TransAlp Protector 30 Backpack,https://www.bike-components.de/en/Camelbak/K-U-D-U-TransAlp-Protector-30-Backpack-p67682/,167.23 €,,"Backpacks, Bags & Panniers"
Ortlieb Velocity Backpack,https://www.bike-components.de/en/Ortlieb/Velocity-Backpack-p16733/,75.59 €,,"Backpacks, Bags & Panniers"
Ortlieb Micro Saddle Bag,https://www.bike-components.de/en/Ortlieb/Micro-Saddle-Bag-p23471/,19.29 €,,"Backpacks, Bags & Panniers"
Topeak Wedge DryBag Strap Saddle Bag,https://www.bike-components.de/en/Topeak/Wedge-DryBag-Strap-Saddle-Bag-p25391/,from  20.97€,,"Backpacks, Bags & Panniers"
deuter Streamer Hydration Bladder,https://www.bike-components.de/en/deuter/Streamer-Hydration-Bladder-p26779/,from  25.17€,https://static.bike-components.de/cache/p/s1/2/6/deuter-Streamer-Hydration-Bladder-26779-0-1534761631.jpeg,"Backpacks, Bags & Panniers"
Topeak Compact Handlebar Bag,https://www.bike-components.de/en/Topeak/Compact-Handlebar-Bag-p29070/,35.25 €,https://static.bike-components.de/cache/p/s1/2/9/Topeak-Compact-Handlebar-Bag-29070-0-1481256197.jpeg,"Backpacks, Bags & Panniers"
Racktime Snap-It Systemadapter für Racktime-Gepäckträger ab Modell 2012,https://www.bike-components.de/en/Racktime/Snap-It-Systemadapter-fuer-Racktime-Gepaecktraeger-ab-Modell-2012-p30536/,13.03 €,https://static.bike-components.de/cache/p/s1/3/0/Racktime-Snap-It-Systemadapter-fuer-Racktime-Gepaecktraeger-ab-Modell-2012-30536-0-1495554047.jpeg,"Backpacks, Bags & Panniers"
Fizik Kli:k Saddle Bag,https://www.bike-components.de/en/Fizik/Kli-k-Saddle-Bag-p46214/,12.56 €,https://static.bike-components.de/cache/p/s1/4/6/Fizik-Kli-k-Saddle-Bag-46214-0-1481256134.jpeg,"Backpacks, Bags & Panniers"
deuter Attack 20 Protector Backpack,https://www.bike-components.de/en/deuter/Attack-20-Protector-Backpack-p46964/,159.62 €,https://static.bike-components.de/cache/p/s1/4/6/deuter-Attack-20-Protector-Backpack-46964-0-1481266059.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Pro Plus Rear Panniers,https://www.bike-components.de/en/Ortlieb/Back-Roller-Pro-Plus-Rear-Panniers-p47241/,167.23 €,https://static.bike-components.de/cache/p/s1/4/7/Ortlieb-Back-Roller-Pro-Plus-Rear-Panniers-47241-0-1481257752.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Pro Classic Rear Panniers,https://www.bike-components.de/en/Ortlieb/Back-Roller-Pro-Classic-Rear-Panniers-p47829/,150.42 €,https://static.bike-components.de/cache/p/s1/4/7/Ortlieb-Back-Roller-Pro-Classic-Rear-Panniers-47829-0-1481268777.jpeg,"Backpacks, Bags & Panniers"
Topeak MTX TrunkBag DX Rack Bag,https://www.bike-components.de/en/Topeak/MTX-TrunkBag-DX-Rack-Bag-p49026/,56.26 €,https://static.bike-components.de/cache/p/s1/4/9/Topeak-MTX-TrunkBag-DX-Rack-Bag-49026-0-1481258765.jpeg,"Backpacks, Bags & Panniers"
evoc Hip Pack Race Hüfttasche,https://www.bike-components.de/en/evoc/Hip-Pack-Race-Huefttasche-p52020/,54.62 €,https://static.bike-components.de/cache/p/s1/5/2/evoc-Hip-Pack-Race-Huefttasche-52020-0-1554884264.jpeg,"Backpacks, Bags & Panniers"
deuter Energy Frame Bag,https://www.bike-components.de/en/deuter/Energy-Frame-Bag-p52439/,11.72 €,,"Backpacks, Bags & Panniers"
SILCA Seat Roll Premio Saddle Bag,https://www.bike-components.de/en/SILCA/Seat-Roll-Premio-Saddle-Bag-p55393/,46.18 €,,"Backpacks, Bags & Panniers"
Revelate Designs Viscacha Seat Bag,https://www.bike-components.de/en/Revelate-Designs/Viscacha-Seat-Bag-p56533/,125.21 €,,"Backpacks, Bags & Panniers"
Ortlieb Toptube Frame-Pack - 2018 Model,https://www.bike-components.de/en/Ortlieb/Toptube-Frame-Pack-2018-Model-p59628/,83.99 €,,"Backpacks, Bags & Panniers"
Camelbak K.U.D.U. Protector 20 Backpack,https://www.bike-components.de/en/Camelbak/K-U-D-U-Protector-20-Backpack-p59984/,167.23 €,,"Backpacks, Bags & Panniers"
Camelbak K.U.D.U. Protector 10 Backpack,https://www.bike-components.de/en/Camelbak/K-U-D-U-Protector-10-Backpack-p59987/,from  116.81€,,"Backpacks, Bags & Panniers"
Ergon BA3 E Protect Backpack - 2018 Model,https://www.bike-components.de/en/Ergon/BA3-E-Protect-Backpack-2018-Model-p60147/,121.85 €,,"Backpacks, Bags & Panniers"
Ortlieb Cockpit-Pack - 2018 Model,https://www.bike-components.de/en/Ortlieb/Cockpit-Pack-2018-Model-p60327/,41.97 €,,"Backpacks, Bags & Panniers"
evoc Explorer Backpack,https://www.bike-components.de/en/evoc/Explorer-Backpack-p60606/,151.26 €,,"Backpacks, Bags & Panniers"
Backcountry Research Race Strap Befestigungsband,https://www.bike-components.de/en/Backcountry-Research/Race-Strap-Befestigungsband-p61364/,15.12 €,,"Backpacks, Bags & Panniers"
Backcountry Research Camrat Strap Befestigungsband,https://www.bike-components.de/en/Backcountry-Research/Camrat-Strap-Befestigungsband-p61368/,12.60 €,,"Backpacks, Bags & Panniers"
Merida Gravel Saddle Bag,https://www.bike-components.de/en/Merida/Gravel-Saddle-Bag-p64775/,41.97 €,,"Backpacks, Bags & Panniers"
Racktime Woodpacker Holzbox,https://www.bike-components.de/en/Racktime/Woodpacker-Holzbox-p66577/,33.57 €,,"Backpacks, Bags & Panniers"
Camelbak M.U.L.E. LR 15 Hydration Pack - 2019 Model,https://www.bike-components.de/en/Camelbak/M-U-L-E-LR-15-Hydration-Pack-2019-Model-p67684/,100.00 €,,"Backpacks, Bags & Panniers"
"evoc Hip Pack Pro Hüfttasche + 1,5l Trinkblase",https://www.bike-components.de/en/evoc/Hip-Pack-Pro-Huefttasche-1-5l-Trinkblase-p67935/,100.84 €,,"Backpacks, Bags & Panniers"
evoc Neo Protektor Rucksack,https://www.bike-components.de/en/evoc/Neo-Protektor-Rucksack-p67939/,210.08 €,https://static.bike-components.de/cache/p/s1/6/7/evoc-Neo-Protektor-Rucksack-67939-0-1539852805.jpeg,"Backpacks, Bags & Panniers"
deuter Trans Alpine Pro 28 Rucksack,https://www.bike-components.de/en/deuter/Trans-Alpine-Pro-28-Rucksack-p69944/,151.22 €,https://static.bike-components.de/cache/p/s1/6/9/deuter-Trans-Alpine-Pro-28-Rucksack-69944-0-1554468295.jpeg,"Backpacks, Bags & Panniers"
Topeak Aero Wedge Pack Strap Saddle Bag,https://www.bike-components.de/en/Topeak/Aero-Wedge-Pack-Strap-Saddle-Bag-p7451/,from  11.72€,https://static.bike-components.de/cache/p/s1/7/4/Topeak-Aero-Wedge-Pack-Strap-Saddle-Bag-7451-0-1481255927.jpeg,"Backpacks, Bags & Panniers"
Continental MTB Tube Bag,https://www.bike-components.de/en/Continental/MTB-Tube-Bag-p7476/,from  5.00€,https://static.bike-components.de/cache/p/s1/7/4/Continental-MTB-Tube-Bag-7476-0-1481258630.jpeg,"Backpacks, Bags & Panniers"
Topeak ProPack Saddle Bag,https://www.bike-components.de/en/Topeak/ProPack-Saddle-Bag-p24160/,17.61 €,https://static.bike-components.de/cache/p/s1/2/4/Topeak-ProPack-Saddle-Bag-24160-0-1481265146.jpeg,"Backpacks, Bags & Panniers"
SKS Bottle Cage Box,https://www.bike-components.de/en/SKS/Bottle-Cage-Box-p25545/,7.52 €,https://static.bike-components.de/cache/p/s1/2/5/SKS-Bottle-Cage-Box-25545-0-1548399060.jpeg,"Backpacks, Bags & Panniers"
Topeak Tri DryBag Frame Bag - Closeout,https://www.bike-components.de/en/Topeak/Tri-DryBag-Frame-Bag-Closeout-p27672/,17.61 €,https://static.bike-components.de/cache/p/s1/2/7/Topeak-Tri-DryBag-Frame-Bag-Closeout-27672-0-1481263639.jpeg,"Backpacks, Bags & Panniers"
evoc Saddle Bag,https://www.bike-components.de/en/evoc/Saddle-Bag-p32955/,from  15.08€,https://static.bike-components.de/cache/p/s1/3/2/evoc-Saddle-Bag-32955-0-1553603184.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Sport-Roller Plus Front / Rear Panniers,https://www.bike-components.de/en/Ortlieb/Sport-Roller-Plus-Front-Rear-Panniers-p40760/,100.00 €,https://static.bike-components.de/cache/p/s1/4/0/Ortlieb-Sport-Roller-Plus-Front-Rear-Panniers-40760-0-1481256656.jpeg,"Backpacks, Bags & Panniers"
evoc Stage 12l Rucksack,https://www.bike-components.de/en/evoc/Stage-12l-Rucksack-p40997/,109.24 €,,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Urban QL2.1 Rear Pannier,https://www.bike-components.de/en/Ortlieb/Back-Roller-Urban-QL2-1-Rear-Pannier-p41700/,from  58.78€,,"Backpacks, Bags & Panniers"
Brooks Isle of Wight Large Saddle Bag,https://www.bike-components.de/en/Brooks/Isle-of-Wight-Large-Saddle-Bag-p41905/,33.57 €,,"Backpacks, Bags & Panniers"
Brooks Suffolk Pannier,https://www.bike-components.de/en/Brooks/Suffolk-Pannier-p41912/,73.07 €,,"Backpacks, Bags & Panniers"
Brooks Norfolk Front Pannier,https://www.bike-components.de/en/Brooks/Norfolk-Front-Pannier-p41913/,65.50 €,,"Backpacks, Bags & Panniers"
Ortlieb Bike-Shopper Pannier,https://www.bike-components.de/en/Ortlieb/Bike-Shopper-Pannier-p41930/,67.18 €,,"Backpacks, Bags & Panniers"
evoc Stage 18l Rucksack,https://www.bike-components.de/en/evoc/Stage-18l-Rucksack-p45312/,117.65 €,,"Backpacks, Bags & Panniers"
"Schwalbe MTB/City & Touring 27.5/29"" Saddle Bag",https://www.bike-components.de/en/Schwalbe/MTB-City-Touring-27-5-29-Saddle-Bag-p45688/,7.52 €,,"Backpacks, Bags & Panniers"
deuter Trans Alpine Pro 24 SL Backpack,https://www.bike-components.de/en/deuter/Trans-Alpine-Pro-24-SL-Backpack-p46970/,74.78 €,,"Backpacks, Bags & Panniers"
